comment_id,repo,pr_number,comment_url,file,line,comment,rater1_category,rater1_confidence,rater2_category,rater2_confidence,rater2_reason,raters_agree,partial_human_label,partial_human_agrees
694931396,mockito/mockito,2402,https://github.com/mockito/mockito/pull/2402#discussion_r694931396,src/test/java/org/mockitousage/spies/MockCreationShouldNotAffectSpyTest.java,25,"I guess we can't reinstate the test as-is, but I think we can if we remove this particular line?",design,low,design,low,"It tentatively proposes reinstating a test by removing a line, changing what test code exists, but is so dependent on surrounding discussion that question is also defensible.",yes,,
807045878,mockito/mockito,2549,https://github.com/mockito/mockito/pull/2549#discussion_r807045878,subprojects/inline/src/test/java/org/mockitoinline/InOrderVerificationTest.java,24,"Nice tests! Can we also have a test where we invoke `inOrder` with a different class? E.g. I would expect the following use case to be illegal:

```java
// Declaring `Bar` here rather than `Foo`
InOrder inOrder = inOrder(Bar.class);

mocked.when(Foo::firstMethod).thenReturn(""first"");
mocked.when(Foo::secondMethod).thenReturn(""second"");

assertEquals(""first"", Foo.firstMethod());
assertEquals(""second"", Foo.secondMethod());

// Execution verification on `Foo`, while `inOrder` was created with `Bar`
inOrder.verify(mocked, Foo::firstMethod, times(1));
inOrder.verify(mocked, Foo::secondMethod, atLeastOnce());
```",bug,high,design,low,"It requests adding a new test method for an expected-illegal use case, changing what test code exists, though it borders on bug as missing edge-case coverage.",no,,
827454303,mockito/mockito,2593,https://github.com/mockito/mockito/pull/2593#discussion_r827454303,src/main/java/org/mockito/internal/invocation/InvocationsFinder.java,129,Let's refactor this to an `List<Invocation>` so that we can use `Collectors.toList()` like the rest of the usages.,design,high,design,high,"It asks to change the declared type to List<Invocation> and use a different collector, altering types and the shape of the code.",yes,,
882659012,mockito/mockito,2650,https://github.com/mockito/mockito/pull/2650#discussion_r882659012,src/test/java/org/mockitousage/strictness/StrictnessWithSettingsTest.java,41,"Same here, let's have 3 separate 3 test cases here.",design,high,design,high,"Splitting one test into three separate test cases changes the shape of the test code, the canonical design example.",yes,,
884447378,mockito/mockito,2650,https://github.com/mockito/mockito/pull/2650#discussion_r884447378,src/test/java/org/mockitousage/strictness/StrictnessWithSettingsTest.java,43,"Quick Q - was it intentional for this to change mocks defined by `mock(Blah.class)`  i.e with no rule/Junit `MockitoSettings` to strict by default?

I believe the previous behaviour was lenient by default?",question,high,question,low,"The reviewer is asking whether a behavior change to strict-by-default was intentional, though the implied unintended regression sits on the boundary with bug.",yes,,
915145345,mockito/mockito,2701,https://github.com/mockito/mockito/pull/2701#discussion_r915145345,src/main/java/org/mockito/internal/util/MockUtil.java,47,Nit: remove the else so that the return is on the same level as the if,style,high,style,high,Removing a redundant else so the return aligns with the if is a syntax convention tweak that leaves the same logic in the same place.,yes,,
944847830,mockito/mockito,2723,https://github.com/mockito/mockito/pull/2723#discussion_r944847830,src/main/java/org/mockito/internal/debugging/LocationFactory.java,16,Nit: remove `lFactory` and directly assign to `factory`,style,high,style,low,"Dropping an intermediate local variable and assigning directly is a trivial local cleanup, but it sits on the style/design boundary since inlining slightly changes the code's shape.",yes,,
944849660,mockito/mockito,2723,https://github.com/mockito/mockito/pull/2723#discussion_r944849660,src/test/java/org/mockitousage/internal/debugging/LocationFactoryTest.java,20,"Nit: can we put this as a test in https://github.com/mockito/mockito/tree/main/subprojects/memory-test/src/test/java/org/mockito/memorytest instead (and can you also re-enable `ShouldNotStarveMemoryOnLargeStackTraceInvocationsTest.java`, since that is assumed to be passing once again now?)",design,high,design,high,"It asks to move the test into a different subproject and re-enable another test, changing where code lives.",yes,,
944852973,mockito/mockito,2723,https://github.com/mockito/mockito/pull/2723#discussion_r944852973,src/main/java/org/mockito/internal/debugging/Java9PlusLocationImpl.java,101,Same here. Let's make this a `MockitoException`,design,high,design,high,"Changing the thrown exception to a MockitoException changes the type used, altering the code's shape.",yes,,
956772061,mockito/mockito,2701,https://github.com/mockito/mockito/pull/2701#discussion_r956772061,src/main/java/org/mockito/internal/configuration/SpyAnnotationEngine.java,86,"Yes, but let's file a separate GitHub issue for that and link it here: https://github.com/mockito/mockito/issues/2740",question,low,design,low,"This is a process note about filing and linking a separate GitHub issue rather than a request to change the code, so no category truly fits and design is the least-bad fit for the deferred change.",no,,YES
