comment_id,repo,pr_number,pr_url,file,line,comment,comment_url,assigned_category,confidence,rubric_reason,human_category,human_agrees,notes
1050560005,mockito/mockito,2779,https://github.com/mockito/mockito/pull/2779,src/main/java/org/mockito/Mockito.java,1933,"Too late, I know, but shouldn't it have been:
```suggestion
     * @since 4.10.0
```
?",https://github.com/mockito/mockito/pull/2779#discussion_r1050560005,style,high,"The comment suggests a minor change to the Javadoc, specifically the `@since` tag, which is a stylistic improvement to documentation rather than a functional or structural change to the code.",Doc,Yes,
1052577511,mockito/mockito,2807,https://github.com/mockito/mockito/pull/2807,src/main/java/org/mockito/ArgumentMatcher.java,165,"With just 1 method, `ArgumentMatcher` automatically qualifies as a `FunctionalInterface`. E.g. it can be written as a clean lambda. With the addition of this method, can users still write an `ArgumentMatcher` as a lambda? In case we remove the default implementation, is that also true?

If that is not possible, we can consider splitting up the argument matchers into two. We can keep `ArgumentMatcher` as is, but we define a new interface `ArgumentMatcherWithType` that extends `ArgumentMatcher`, but does not define a default implementation. Then we can implement this interface in all our internal matchers, but external users can keep on using `ArgumentMatcher` as-is.

In the logic below, we would then still check if the `ArgumentMatcher` we have is also `ArgumentMatcherWithType` and apply the logic there. WDYT?",https://github.com/mockito/mockito/pull/2807#discussion_r1052577511,design,high,"The comment discusses potential changes to the structure of interfaces and how they are implemented, suggesting splitting interfaces and altering inheritance, which falls under design considerations.",Design,Yes,
1054530605,mockito/mockito,2807,https://github.com/mockito/mockito/pull/2807,src/main/java/org/mockito/internal/matchers/VarargMatcher.java,22,"With this new solution, I think we can remove this interface now and include it in Mockito 5",https://github.com/mockito/mockito/pull/2807#discussion_r1054530605,design,high,"The comment suggests removing an interface, which changes the structure and organization of the code, fitting the definition of a design change.",Practise,No,
1059065109,mockito/mockito,2842,https://github.com/mockito/mockito/pull/2842,src/main/java/org/mockito/internal/matchers/CapturingMatcher.java,35,"Nit: I think we can change `Object` to `T` here as well? It doesn't change the implementation of the method, but since we are `ArgumentMatcher<T>` here I think that should be safe. However, this is okay for now and we can consider this as part of the follow-up as well.",https://github.com/mockito/mockito/pull/2842#discussion_r1059065109,style,high,"The reviewer suggests changing the type from `Object` to `T` for consistency, which is a minor wording change that does not alter the code's structure or behavior.",Practise,No,
1119362735,mockito/mockito,2923,https://github.com/mockito/mockito/pull/2923,subprojects/junit-jupiter/src/test/java/org/mockitousage/GenericTypeMockTest.java,63,"If you are already asserting equals here, then you can remove the `assertNotNull` before",https://github.com/mockito/mockito/pull/2923#discussion_r1119362735,design,high,"The comment suggests removing an assertion, which changes the structure of the test by removing a line of code, thus impacting the test's design.",Practise,No,
1405377838,mockito/mockito,3167,https://github.com/mockito/mockito/pull/3167,src/main/java/org/mockito/internal/stubbing/defaultanswers/ReturnsDeepStubs.java,83,"Rather than swallowing the exception here, I would prefer to always throw the exception and let the user to decide what to return. E.g. you can use `DEEP_STUBS` as default answer and then override this one stub to specify the enum you expect to return. I don't think defaulting to the first value is expected behavior from users.",https://github.com/mockito/mockito/pull/3167#discussion_r1405377838,design,high,"The comment suggests changing the behavior of the method by always throwing an exception instead of swallowing it, which alters the core logic and expected outcome of the code.",Design,Yes,Does not alter core login
1730306134,mockito/mockito,3424,https://github.com/mockito/mockito/pull/3424,src/main/java/org/mockito/MockitoFramework.java,150,"I don't think we should introduce a new API for the behavior here. The feature for `clearInlineMocks` isn't widely used, but we also don't promise the behavior of mocks after clearing of inline mocks. Therefore, I propose we integrate your improvement (good suggestion, I like it!) into `clearInlineMocks`.

In other words: we don't introduce a new API, but instead change the implementation of the existing `clearInlineMocks` and add corresponding tests. This does not pollute our API surface, while improving the usability of this specific API.",https://github.com/mockito/mockito/pull/3424#discussion_r1730306134,design,high,"The comment suggests changing the implementation of an existing API (`clearInlineMocks`) rather than introducing a new one, which directly impacts the code's structure and API surface.",Design,Yes,
1743569117,mockito/mockito,3424,https://github.com/mockito/mockito/pull/3424,src/main/java/org/mockito/internal/framework/DisabledMockException.java,17,"Nit: since the `MockHandler` throws the exception, I think this should be reversed. E.g. `public class DisabledMockHandler implements MockHandler {}` and the `DisabledMockException` should be the inner class. Then we can still have `public static DisabledMockHandler HANDLER = new DisabledMockHandler();`

Another nit: `DisabledMockException extends MockitoException` as we mark all our exceptions as `MockitoException`",https://github.com/mockito/mockito/pull/3424#discussion_r1743569117,design,high,"The comment suggests restructuring the classes by making `DisabledMockException` an inner class and reversing the inheritance hierarchy, which changes the code's structure and organization.",Design,Yes,
1744361831,mockito/mockito,3437,https://github.com/mockito/mockito/pull/3437,src/main/java/org/mockito/internal/creation/bytebuddy/InlineDelegateByteBuddyMockMaker.java,116,"I wonder if we should print a message when JVM is >= 21, that mockito should be explicitly added as a Java agent in the JVM running the tests due to https://openjdk.org/jeps/451.",https://github.com/mockito/mockito/pull/3437#discussion_r1744361831,design,high,"The comment suggests adding a new feature to the code: printing a message under specific JVM conditions, which would alter the code's behavior and structure.",Design,Yes,
1744531544,mockito/mockito,3437,https://github.com/mockito/mockito/pull/3437,src/main/java/org/mockito/internal/creation/bytebuddy/InlineDelegateByteBuddyMockMaker.java,152,"**suggestion:** I wonder if we can use the try with resources there, something like

```
try (JarOutputStream outputStream = new JarOutputStream(new FileOutputStream(boot))) {
```",https://github.com/mockito/mockito/pull/3437#discussion_r1744531544,design,high,"The suggestion to use try-with-resources changes the structure of the code by introducing a new block and potentially altering resource management, which falls under design.",,,
